model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM,0.9203625768857235,0.9252,0.031507253646850586,0.024398326873779297,0.3678417205810547,0.031507253646850586,0.024398326873779297,0.3678417205810547,0,True,4
WeightedEnsemble_L1,0.9192295241178375,0.9312,3.3054087162017822,1.126343011856079,123.61714434623718,0.006913900375366211,0.00536799430847168,1.3415284156799316,1,True,10
XGBoost,0.9184202007122046,0.9264,0.11738896369934082,0.036771297454833984,1.3177413940429688,0.11738896369934082,0.036771297454833984,1.3177413940429688,0,True,7
CatBoost,0.9179346066688249,0.924,0.026052236557006836,0.018500328063964844,2.7014589309692383,0.026052236557006836,0.018500328063964844,2.7014589309692383,0,True,6
RandomForestGini,0.917691809647135,0.9172,0.29586124420166016,0.2147812843322754,1.6603591442108154,0.29586124420166016,0.2147812843322754,1.6603591442108154,0,True,1
LightGBMXT,0.9174490126254451,0.9244,0.03849005699157715,0.027029037475585938,0.46265530586242676,0.03849005699157715,0.027029037475585938,0.46265530586242676,0,True,5
NeuralNetFastAI,0.9173680802848818,0.922,0.7204887866973877,0.1555924415588379,56.85714316368103,0.7204887866973877,0.1555924415588379,56.85714316368103,0,True,9
RandomForestEntr,0.9169634185820654,0.9208,0.31195688247680664,0.11367392539978027,1.7585694789886475,0.31195688247680664,0.11367392539978027,1.7585694789886475,0,True,2
NeuralNetMXNet,0.9155066364519262,0.9236,1.2501044273376465,0.31590795516967773,55.7037456035614,1.2501044273376465,0.31590795516967773,55.7037456035614,0,True,8
ExtraTreesEntr,0.9103269666558756,0.9112,0.5066449642181396,0.21432042121887207,1.446101188659668,0.5066449642181396,0.21432042121887207,1.446101188659668,0,True,3
