vehicle_id,make,model,year,vehicle_class,engine_type
0,Make A,Model A1,2018,Truck,Engine A
1,Make A,Model A1,2018,Truck,Engine A
2,Make A,Model A1,2017,Truck,Engine B
3,Make A,Model A1,2017,Truck,Engine B
4,Make A,Model A2,2018,Truck,Engine B
5,Make A,Model A2,2018,Truck,Engine B
6,Make A,Model A2,2019,Truck,Engine B
7,Make A,Model A2,2019,Truck,Engine B
8,Make A,Model A2,2020,Truck,Engine B
9,Make A,Model A2,2020,Truck,Engine B
10,Make A,Model A3,2017,Truck-Tractor,Engine C
11,Make A,Model A3,2017,Truck-Tractor,Engine C
12,Make A,Model A3,2018,Truck-Tractor,Engine C
13,Make A,Model A3,2018,Truck-Tractor,Engine C
14,Make A,Model A3,2017,Truck-Tractor,Engine E
15,Make A,Model A3,2017,Truck-Tractor,Engine E
16,Make A,Model A4,2014,Truck-Tractor,Engine E
17,Make A,Model A4,2014,Truck-Tractor,Engine E
18,Make A,Model A4,2015,Truck-Tractor,Engine E
19,Make A,Model A4,2015,Truck-Tractor,Engine E
20,Make A,Model A4,2017,Truck-Tractor,Engine E
21,Make A,Model A4,2017,Truck-Tractor,Engine E
22,Make A,Model A4,2018,Truck-Tractor,Engine E
23,Make A,Model A4,2018,Truck-Tractor,Engine E
24,Make A,Model A4,2019,Truck-Tractor,Engine E
25,Make A,Model A4,2019,Truck-Tractor,Engine E
26,Make A,Model A4,2020,Truck-Tractor,Engine E
27,Make A,Model A4,2020,Truck-Tractor,Engine E
28,Make A,Model A5,2008,Transport,Engine E
29,Make A,Model A5,2008,Transport,Engine E
30,Make A,Model A5,2012,Transport,Engine E
31,Make A,Model A5,2012,Transport,Engine E
32,Make A,Model A6,2016,Bus,Engine F
33,Make A,Model A6,2016,Bus,Engine F
34,Make A,Model A6,2017,Bus,Engine F
35,Make A,Model A6,2017,Bus,Engine F
36,Make B,Model B1,2015,Truck-Tractor,Engine H
37,Make B,Model B1,2015,Truck-Tractor,Engine H
38,Make B,Model B1,2015,Truck-Tractor,Engine C
39,Make B,Model B1,2015,Truck-Tractor,Engine C
40,Make B,Model B1,2016,Truck-Tractor,Engine C
41,Make B,Model B1,2016,Truck-Tractor,Engine C
42,Make B,Model B1,2017,Truck-Tractor,Engine C
43,Make B,Model B1,2017,Truck-Tractor,Engine C
44,Make B,Model B2,2016,Truck,Engine B
45,Make B,Model B2,2016,Truck,Engine B
46,Make B,Model B2,2018,Truck,Engine B
47,Make B,Model B2,2018,Truck,Engine B
48,Make B,Model B2,2019,Truck,Engine B
49,Make B,Model B2,2019,Truck,Engine B
50,Make B,Model B2,2020,Truck,Engine B
51,Make B,Model B2,2020,Truck,Engine B
52,Make B,Model B3,2014,Truck-Tractor,Engine F
53,Make B,Model B3,2014,Truck-Tractor,Engine F
54,Make B,Model B3,2014,Truck-Tractor,Engine H
55,Make B,Model B3,2014,Truck-Tractor,Engine H
56,Make B,Model B3,2015,Truck-Tractor,Engine H
57,Make B,Model B3,2015,Truck-Tractor,Engine H
58,Make C,Model C1,2016,Truck-Tractor,Engine C
59,Make C,Model C1,2016,Truck-Tractor,Engine C
60,Make C,Model C1,2016,Truck-Tractor,Engine E
61,Make C,Model C1,2016,Truck-Tractor,Engine E
62,Make C,Model C2,2017,Truck-Tractor,Engine E
63,Make C,Model C2,2017,Truck-Tractor,Engine E
64,Make C,Model C2,2018,Truck-Tractor,Engine D
65,Make C,Model C2,2018,Truck-Tractor,Engine D
66,Make C,Model C2,2018,Truck-Tractor,Engine D
67,Make C,Model C2,2018,Truck-Tractor,Engine D
68,Make D,Model D1,2011,Bus,Engine F
69,Make D,Model D1,2011,Bus,Engine F
70,Make D,Model D1,2014,Bus,Engine G
71,Make D,Model D1,2014,Bus,Engine G
72,Make E,Model E1,2006,Truck-Tractor,Engine C
73,Make E,Model E1,2006,Truck-Tractor,Engine C
74,Make E,Model E1,2011,Truck-Tractor,Engine C
75,Make E,Model E1,2011,Truck-Tractor,Engine C
76,Make E,Model E1,2012,Truck-Tractor,Engine E
77,Make E,Model E1,2012,Truck-Tractor,Engine E
78,Make E,Model E1,2014,Truck-Tractor,Engine C
79,Make E,Model E1,2014,Truck-Tractor,Engine C
80,Make E,Model E1,2015,Truck-Tractor,Engine C
81,Make E,Model E1,2015,Truck-Tractor,Engine C
82,Make E,Model E1,2018,Truck-Tractor,Engine E
83,Make E,Model E1,2018,Truck-Tractor,Engine E
84,Make E,Model E1,2018,Truck-Tractor,Engine C
85,Make E,Model E1,2018,Truck-Tractor,Engine C
86,Make E,Model E1,2020,Truck-Tractor,Engine C
87,Make E,Model E1,2020,Truck-Tractor,Engine C
88,Make E,Model E2,2020,Truck-Tractor,Engine E
89,Make E,Model E2,2020,Truck-Tractor,Engine E
